player_id,player_slug,tm_season_id,season_label,summary_row_text,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,minutes_est,appearances_est
14881,marcelo-carne,2024,24/25,Total 2025: | Total 2025: | nan | 27 | - | 4 | - | 1 | 23 | 12 | 2.458',Total 2025:,nan,27,-,4,-,1,23,12,2.458',2458.0,27.0
14881,marcelo-carne,2023,23/24,Total 2024: | Total 2024: | nan | 23 | - | 3 | - | 1 | 29 | 8 | 2.070',Total 2024:,nan,23,-,3,-,1,29,8,2.070',2070.0,23.0
14881,marcelo-carne,2022,22/23,Total 2023: | Total 2023: | nan | 16 | - | 4 | - | - | 27 | 2 | 1.470',Total 2023:,nan,16,-,4,-,-,27,2,1.470',1470.0,16.0
14881,marcelo-carne,2021,21/22,Total 2022: | Total 2022: | nan | 56 | - | 3 | 1 | 1 | 44 | 25 | 4.991',Total 2022:,nan,56,-,3,1,1,44,25,4.991',4991.0,56.0
14881,marcelo-carne,2020,20/21,Total 2021: | Total 2021: | nan | 36 | - | 4 | - | - | 40 | 11 | 3.240',Total 2021:,nan,36,-,4,-,-,40,11,3.240',3240.0,36.0
14881,marcelo-carne,2019,19/20,Total 2020: | Total 2020: | nan | 50 | - | 7 | - | - | 48 | 19 | 4.500',Total 2020:,nan,50,-,7,-,-,48,19,4.500',4500.0,50.0
14881,marcelo-carne,2018,18/19,Total 2019: | Total 2019: | nan | 39 | - | 7 | - | - | 40 | 18 | 3.499',Total 2019:,nan,39,-,7,-,-,40,18,3.499',3499.0,39.0
14881,marcelo-carne,2016,16/17,Total 2017: | Total 2017: | nan | 10 | - | 2 | - | - | 14 | 1 | 900',Total 2017:,nan,10,-,2,-,-,14,1,900',900.0,10.0
14881,marcelo-carne,2015,15/16,Total 2016: | Total 2016: | nan | - | - | - | - | - | - | - | -,Total 2016:,nan,-,-,-,-,-,-,-,-,,
14881,marcelo-carne,2014,14/15,Total 2015: | Total 2015: | nan | 15 | - | 1 | - | - | 24 | 4 | 1.350',Total 2015:,nan,15,-,1,-,-,24,4,1.350',1350.0,15.0
14881,marcelo-carne,2013,13/14,Total 2014: | Total 2014: | nan | 1 | - | - | - | - | 2 | - | 90',Total 2014:,nan,1,-,-,-,-,2,-,90',90.0,1.0
14881,marcelo-carne,2012,12/13,Total 2013: | Total 2013: | nan | 3 | - | - | - | - | 7 | 1 | 270',Total 2013:,nan,3,-,-,-,-,7,1,270',270.0,3.0
14881,marcelo-carne,2011,11/12,Total 2012: | Total 2012: | nan | - | - | - | - | - | - | - | -,Total 2012:,nan,-,-,-,-,-,-,-,-,,
14881,marcelo-carne,2010,10/11,Total 2011: | Total 2011: | nan | 16 | - | 2 | - | - | 34 | 1 | 1.440',Total 2011:,nan,16,-,2,-,-,34,1,1.440',1440.0,16.0
14881,marcelo-carne,2006,06/07,,,,,,,,,,,,,
638060,william,2025,25/26,Total 2026: | Total 2026: | nan | - | - | - | - | - | - | - | -,Total 2026:,nan,-,-,-,-,-,-,-,-,,
638060,william,2024,24/25,Total 2025: | Total 2025: | nan | 12 | - | 3 | - | 1 | 17 | 2 | 1.049',Total 2025:,nan,12,-,3,-,1,17,2,1.049',1049.0,12.0
638060,william,2023,23/24,Total 2024: | Total 2024: | nan | 9 | - | 2 | - | - | 6 | 4 | 810',Total 2024:,nan,9,-,2,-,-,6,4,810',810.0,9.0
